# 3D point list with one line of data per point:
# POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 2000, mean track length: 0
44 0.060539080 -0.067639763 0.412319287 128 128 128 1.0
45 0.010476097 -0.122946795 0.449931900 128 128 128 1.0
46 0.115336572 -0.005264392 0.328086698 128 128 128 1.0
47 -0.012789357 -0.078012186 0.437886941 128 128 128 1.0
48 -0.043431355 -0.004095233 0.286536288 128 128 128 1.0
49 -0.050085848 -0.102218012 0.450565545 128 128 128 1.0
50 -0.012327006 0.077273729 0.351065968 128 128 128 1.0
51 -0.055552282 -0.026134821 0.305181516 128 128 128 1.0
52 0.000636728 -0.030021347 0.326006263 128 128 128 1.0
53 -0.110285975 -0.064547674 0.482324604 128 128 128 1.0
54 -0.053698657 -0.084327503 0.376986107 128 128 128 1.0
55 0.112581776 -0.116321944 0.333318252 128 128 128 1.0
56 -0.050564204 -0.140881558 0.408794137 128 128 128 1.0
57 -0.001875513 0.005715348 0.289815082 128 128 128 1.0
58 0.036382733 -0.043143788 0.338567743 128 128 128 1.0
59 -0.088660863 -0.097288221 0.456842548 128 128 128 1.0
60 -0.040568376 0.023334429 0.347296765 128 128 128 1.0
61 -0.035291616 -0.040636878 0.400406607 128 128 128 1.0
62 -0.024149408 -0.012115492 0.351777725 128 128 128 1.0
63 0.094120666 0.054440878 0.380608021 128 128 128 1.0
64 -0.045085711 -0.110557498 0.425962395 128 128 128 1.0
65 0.077315771 -0.011256672 0.393350707 128 128 128 1.0
66 0.062515444 0.066494756 0.423710678 128 128 128 1.0
67 -0.036449412 0.121197839 0.250272555 128 128 128 1.0
68 0.068937846 0.039514566 0.419889529 128 128 128 1.0
69 0.150320665 0.118755638 0.258385847 128 128 128 1.0
70 -0.135093726 0.065351125 0.268799007 128 128 128 1.0
71 -0.000992431 0.067178198 0.218496212 128 128 128 1.0
72 -0.168798436 0.020743922 0.353550871 128 128 128 1.0
73 -0.019664246 0.003082781 0.281158751 128 128 128 1.0
74 -0.121079553 -0.013332388 0.272263305 128 128 128 1.0
75 -0.131478506 0.040454486 0.345088110 128 128 128 1.0
76 0.032522283 -0.079143595 0.297355297 128 128 128 1.0
77 -0.079923442 -0.070931349 0.365632633 128 128 128 1.0
78 -0.062637969 0.028485303 0.377180474 128 128 128 1.0
79 0.162012879 -0.111423124 0.421032190 128 128 128 1.0
80 -0.007159037 -0.001122378 0.234010894 128 128 128 1.0
81 -0.036815505 0.059455781 0.343401730 128 128 128 1.0
82 0.006484350 -0.023257334 0.442365580 128 128 128 1.0
83 -0.001717805 -0.176033254 0.294634196 128 128 128 1.0
84 -0.157503729 -0.260115073 0.307590772 128 128 128 1.0
85 0.106684788 0.003769592 0.256196343 128 128 128 1.0
86 -0.075255989 0.090449058 0.362610130 128 128 128 1.0
87 0.003839939 -0.004276943 0.353072021 128 128 128 1.0
88 0.064432452 0.044205384 0.367256376 128 128 128 1.0
89 -0.083429469 0.040888701 0.295260234 128 128 128 1.0
90 0.087507654 -0.101684066 0.338990322 128 128 128 1.0
91 -0.000588663 -0.105971644 0.487757732 128 128 128 1.0
92 0.116832541 -0.037086701 0.411737693 128 128 128 1.0
93 0.030294086 -0.209084757 0.370031841 128 128 128 1.0
94 -0.004907526 0.006657388 0.263850006 128 128 128 1.0
95 -0.021547764 -0.014260701 0.445047537 128 128 128 1.0
96 0.026754165 -0.000444402 0.472317600 128 128 128 1.0
97 -0.044419834 -0.031154424 0.204659599 128 128 128 1.0
98 0.125528468 0.077146589 0.423347844 128 128 128 1.0
99 0.053511876 0.008811887 0.367239115 128 128 128 1.0
100 -0.020160527 -0.016288034 0.354344289 128 128 128 1.0
101 0.120946361 0.044455032 0.345323190 128 128 128 1.0
102 -0.046351364 -0.050799879 0.478216401 128 128 128 1.0
103 0.040534984 0.005404045 0.322305453 128 128 128 1.0
104 -0.088724273 -0.005348925 0.419892643 128 128 128 1.0
105 -0.031402980 -0.018179407 0.332317252 128 128 128 1.0
106 0.008767549 -0.127440870 0.331168132 128 128 128 1.0
107 -0.068351641 0.070766803 0.288352106 128 128 128 1.0
108 0.046163740 0.121954996 0.324912299 128 128 128 1.0
109 -0.048126100 0.015314581 0.349837678 128 128 128 1.0
110 -0.079489308 0.036873553 0.511241284 128 128 128 1.0
111 -0.020648960 -0.016230096 0.266405438 128 128 128 1.0
112 0.025527076 -0.099758098 0.261445518 128 128 128 1.0
113 0.102373382 -0.072436245 0.436508606 128 128 128 1.0
114 0.121948640 0.020746117 0.394271312 128 128 128 1.0
115 0.156180075 -0.015738272 0.302559536 128 128 128 1.0
116 -0.108258485 0.003336566 0.468331537 128 128 128 1.0
117 0.076767631 -0.075367299 0.281569969 128 128 128 1.0
118 -0.040333698 0.023381447 0.333575086 128 128 128 1.0
119 0.017156316 0.023739150 0.326098113 128 128 128 1.0
120 -0.003213915 0.016527390 0.343282424 128 128 128 1.0
121 0.040281669 0.149670062 0.397357783 128 128 128 1.0
122 0.004464844 -0.134889490 0.381036567 128 128 128 1.0
123 -0.155734273 -0.112722727 0.418371140 128 128 128 1.0
124 0.056498805 -0.011995120 0.213199112 128 128 128 1.0
125 -0.029707881 -0.054299065 0.400947260 128 128 128 1.0
126 0.180618443 0.017354439 0.287655110 128 128 128 1.0
127 -0.093644122 -0.004487542 0.335856545 128 128 128 1.0
128 -0.092121533 0.009308419 0.257926918 128 128 128 1.0
129 0.088968582 0.085012048 0.436780101 128 128 128 1.0
130 -0.037924038 0.041161645 0.339434440 128 128 128 1.0
131 -0.031104965 -0.027131653 0.246022778 128 128 128 1.0
132 -0.115509096 0.063545183 0.334701168 128 128 128 1.0
133 0.017313988 0.080136831 0.211349400 128 128 128 1.0
134 -0.062730406 0.014026787 0.381367583 128 128 128 1.0
135 -0.030165956 0.082334339 0.366831595 128 128 128 1.0
136 -0.097070571 -0.074461102 0.414437685 128 128 128 1.0
137 0.037106517 -0.151924899 0.457816984 128 128 128 1.0
138 0.047842162 0.107467439 0.319303930 128 128 128 1.0
139 -0.023656498 -0.090116567 0.552954366 128 128 128 1.0
140 -0.014036338 0.127002655 0.298216604 128 128 128 1.0
141 0.013107295 -0.133708199 0.319370628 128 128 128 1.0
142 0.078700393 -0.100139505 0.435778204 128 128 128 1.0
143 0.026979025 -0.083516074 0.309872218 128 128 128 1.0
144 -0.036725254 -0.003961547 0.307108483 128 128 128 1.0
145 -0.066183032 -0.024367016 0.267848821 128 128 128 1.0
146 -0.103162126 -0.003854119 0.420629938 128 128 128 1.0
147 -0.122349736 0.000280652 0.298003504 128 128 128 1.0
148 -0.078171635 0.068275012 0.308546425 128 128 128 1.0
149 0.119864135 -0.062387149 0.380920159 128 128 128 1.0
150 -0.018182641 -0.060321745 0.397014003 128 128 128 1.0
151 -0.012398606 0.048256846 0.346216679 128 128 128 1.0
152 -0.086865300 -0.008165539 0.354156414 128 128 128 1.0
153 0.076677036 -0.072501521 0.346853612 128 128 128 1.0
154 -0.137750298 0.052119445 0.263481362 128 128 128 1.0
155 -0.144508762 -0.004737347 0.438454797 128 128 128 1.0
156 -0.121955756 -0.087042847 0.290538009 128 128 128 1.0
157 -0.090359732 0.030354231 0.285410604 128 128 128 1.0
158 -0.057721179 0.046664432 0.289558830 128 128 128 1.0
159 0.034622408 -0.077710814 0.253028919 128 128 128 1.0
160 -0.146835943 0.148896223 0.324379277 128 128 128 1.0
161 0.019514669 -0.002483961 0.362796941 128 128 128 1.0
162 0.003974918 0.152657363 0.266885873 128 128 128 1.0
163 -0.124596968 -0.080956773 0.243223279 128 128 128 1.0
164 0.059756964 0.065630257 0.273094756 128 128 128 1.0
165 -0.111234862 -0.028383732 0.461289910 128 128 128 1.0
166 -0.225565553 0.042130142 0.263939582 128 128 128 1.0
167 0.083229372 -0.086233915 0.327166734 128 128 128 1.0
168 -0.120502328 -0.078180628 0.460867133 128 128 128 1.0
169 0.065646295 -0.032133452 0.280386210 128 128 128 1.0
170 -0.151504571 -0.031492537 0.347527740 128 128 128 1.0
171 -0.006724349 -0.007503354 0.260255230 128 128 128 1.0
172 -0.005301911 -0.003093870 0.453244963 128 128 128 1.0
173 0.149338676 -0.010959122 0.288695524 128 128 128 1.0
174 -0.005198570 -0.048609702 0.290605295 128 128 128 1.0
175 -0.004692012 -0.083464354 0.398488540 128 128 128 1.0
176 -0.008313244 0.020000665 0.335364797 128 128 128 1.0
177 -0.058180356 -0.075836765 0.331017920 128 128 128 1.0
178 -0.043900827 0.018712107 0.349645464 128 128 128 1.0
179 -0.108984540 0.005369704 0.242571167 128 128 128 1.0
180 -0.049318210 -0.023548289 0.183978138 128 128 128 1.0
181 0.007320596 0.012078668 0.337358065 128 128 128 1.0
182 -0.033945382 -0.029888293 0.271876843 128 128 128 1.0
183 -0.021576030 -0.044208944 0.357334831 128 128 128 1.0
184 -0.096330887 0.018847193 0.361457511 128 128 128 1.0
185 -0.011325027 -0.035136386 0.394187191 128 128 128 1.0
186 -0.133168137 0.036836267 0.369442997 128 128 128 1.0
187 0.022670103 0.030665007 0.297708447 128 128 128 1.0
188 -0.020756805 0.050964666 0.384451140 128 128 128 1.0
189 0.016537021 -0.121145620 0.393030969 128 128 128 1.0
190 0.093557679 0.080773719 0.368710244 128 128 128 1.0
191 -0.124614288 0.075403585 0.338219629 128 128 128 1.0
192 -0.202601572 0.030176592 0.230626257 128 128 128 1.0
193 -0.103715246 -0.050796711 0.451807294 128 128 128 1.0
194 -0.029667628 0.021679327 0.489837437 128 128 128 1.0
195 0.127522381 -0.008268273 0.330678318 128 128 128 1.0
196 -0.100869651 -0.055556646 0.384028668 128 128 128 1.0
197 0.031658461 0.008819058 0.429584133 128 128 128 1.0
198 -0.061789441 -0.004486122 0.408499439 128 128 128 1.0
199 0.046731672 0.085675662 0.381761633 128 128 128 1.0
200 -0.024752204 0.028975381 0.269792384 128 128 128 1.0
201 -0.131156747 0.046453742 0.345588773 128 128 128 1.0
202 0.024672770 -0.135814749 0.320790878 128 128 128 1.0
203 -0.047988569 -0.069136969 0.169598799 128 128 128 1.0
204 -0.026789879 0.071784343 0.380479818 128 128 128 1.0
205 -0.048075729 -0.001190078 0.410544006 128 128 128 1.0
206 -0.220833429 -0.009962924 0.393456012 128 128 128 1.0
207 0.054570290 0.136058417 0.440803654 128 128 128 1.0
208 0.025005027 0.024158080 0.412955628 128 128 128 1.0
209 -0.043146160 -0.003215044 0.422499120 128 128 128 1.0
210 0.156595617 -0.012741384 0.346127945 128 128 128 1.0
211 0.015878416 0.107456296 0.347574936 128 128 128 1.0
212 0.117548723 -0.077332577 0.335117096 128 128 128 1.0
213 -0.015853213 0.062920458 0.433620830 128 128 128 1.0
214 -0.120755549 -0.073209410 0.376948198 128 128 128 1.0
215 -0.052695492 -0.121794222 0.433078398 128 128 128 1.0
216 0.039517607 0.039454200 0.311964343 128 128 128 1.0
217 0.082315076 -0.019196800 0.437714822 128 128 128 1.0
218 -0.072933212 -0.068330836 0.366373057 128 128 128 1.0
219 -0.056186572 0.054036085 0.370807020 128 128 128 1.0
220 -0.073837697 0.005829248 0.321897785 128 128 128 1.0
221 0.073266626 -0.050604239 0.314866152 128 128 128 1.0
222 0.096898952 0.179087471 0.509920693 128 128 128 1.0
223 0.005057841 0.017508377 0.472676693 128 128 128 1.0
224 -0.009954784 -0.078107931 0.359350048 128 128 128 1.0
225 0.036121342 -0.066331969 0.218301509 128 128 128 1.0
226 -0.114938361 0.053234343 0.289329879 128 128 128 1.0
227 -0.011307767 0.017004695 0.399531270 128 128 128 1.0
228 -0.026792224 0.039897256 0.278795177 128 128 128 1.0
229 -0.028937122 -0.081953247 0.440541377 128 128 128 1.0
230 -0.002166658 -0.059144599 0.321810256 128 128 128 1.0
231 -0.017738278 0.056041583 0.222349106 128 128 128 1.0
232 -0.082976467 -0.030248580 0.552584467 128 128 128 1.0
233 0.076454311 -0.008916134 0.406959967 128 128 128 1.0
234 0.164594894 -0.018699514 0.320686932 128 128 128 1.0
235 0.096955483 0.039534040 0.403706652 128 128 128 1.0
236 -0.040657792 0.153936251 0.486767264 128 128 128 1.0
237 0.045275823 0.054743187 0.187819130 128 128 128 1.0
238 0.051016783 -0.015528687 0.384712456 128 128 128 1.0
239 0.054596753 -0.027303341 0.214761456 128 128 128 1.0
240 0.029429965 -0.059310692 0.323584473 128 128 128 1.0
241 -0.048360788 -0.027325940 0.165238323 128 128 128 1.0
242 0.097355770 0.020267688 0.438911941 128 128 128 1.0
243 0.158387346 0.001807450 0.205805100 128 128 128 1.0
244 -0.071510948 -0.096552358 0.309850029 128 128 128 1.0
245 0.006371838 -0.160174981 0.377398039 128 128 128 1.0
246 -0.120828532 0.023789221 0.341240708 128 128 128 1.0
247 -0.025090499 -0.005843444 0.306817759 128 128 128 1.0
248 -0.048997715 -0.134620511 0.347629815 128 128 128 1.0
249 0.147642697 0.158439605 0.455745408 128 128 128 1.0
250 0.056464128 -0.054118410 0.465420063 128 128 128 1.0
251 -0.004490204 -0.005510041 0.326701829 128 128 128 1.0
252 0.007356952 -0.034817192 0.343297426 128 128 128 1.0
253 -0.086767929 -0.029893096 0.532444518 128 128 128 1.0
254 -0.005567522 -0.019092845 0.392589942 128 128 128 1.0
255 0.056649746 -0.089101509 0.333427297 128 128 128 1.0
256 0.073462067 0.021587010 0.359756323 128 128 128 1.0
257 0.124321413 -0.054221821 0.356619672 128 128 128 1.0
258 -0.041604693 0.119224658 0.193851168 128 128 128 1.0
259 -0.053611336 -0.042332557 0.403083170 128 128 128 1.0
260 0.048502038 0.111615541 0.224077373 128 128 128 1.0
261 0.060038001 -0.023462389 0.296749981 128 128 128 1.0
262 0.043165483 -0.073611167 0.183846936 128 128 128 1.0
263 -0.029617479 -0.119821668 0.298086734 128 128 128 1.0
264 0.029724381 0.024959980 0.476951956 128 128 128 1.0
265 -0.015972380 -0.122666527 0.289512251 128 128 128 1.0
266 -0.073550738 -0.097426013 0.384829376 128 128 128 1.0
267 -0.051618587 -0.158189825 0.405753824 128 128 128 1.0
268 -0.008914125 0.028546982 0.358457724 128 128 128 1.0
269 0.050532379 0.003041500 0.448896199 128 128 128 1.0
270 0.033998623 0.031365410 0.382789353 128 128 128 1.0
271 -0.116531019 -0.013170860 0.329254681 128 128 128 1.0
272 0.016603738 -0.108695533 0.480729182 128 128 128 1.0
273 0.008351093 -0.096905403 0.213289043 128 128 128 1.0
274 -0.022502983 -0.007174033 0.292536633 128 128 128 1.0
275 0.007369106 -0.051294061 0.394132660 128 128 128 1.0
276 -0.057963345 -0.003080018 0.428307134 128 128 128 1.0
277 0.205733511 -0.080611455 0.312839378 128 128 128 1.0
278 -0.067186856 0.062746266 0.258152056 128 128 128 1.0
279 -0.038748564 -0.002368103 0.271705717 128 128 128 1.0
280 -0.076586003 -0.038049831 0.181964781 128 128 128 1.0
281 -0.115638257 -0.033042727 0.361858451 128 128 128 1.0
282 -0.014860799 -0.141917496 0.312897097 128 128 128 1.0
283 0.063875011 0.044469241 0.343700171 128 128 128 1.0
284 -0.070989590 0.050497310 0.303685682 128 128 128 1.0
285 -0.093539872 -0.064174899 0.465867623 128 128 128 1.0
286 0.017614403 0.092739764 0.311653095 128 128 128 1.0
287 0.075051947 -0.048120323 0.337405810 128 128 128 1.0
288 0.198908021 0.061371891 0.309906370 128 128 128 1.0
289 -0.006785523 0.026097874 0.446836607 128 128 128 1.0
290 -0.039130647 -0.139305527 0.327628655 128 128 128 1.0
291 0.001230837 0.008763037 0.455335211 128 128 128 1.0
292 0.025334966 0.065033358 0.261910904 128 128 128 1.0
293 0.069432119 0.167697587 0.411832743 128 128 128 1.0
294 0.020284458 0.012319055 0.492971379 128 128 128 1.0
295 -0.074174519 -0.008888189 0.386816607 128 128 128 1.0
296 0.059520089 -0.034986232 0.374585712 128 128 128 1.0
297 -0.022233719 0.009637691 0.339432677 128 128 128 1.0
298 -0.091327494 -0.001689087 0.420172122 128 128 128 1.0
299 -0.077361463 -0.019287340 0.403182405 128 128 128 1.0
300 -0.085589209 0.014611067 0.265189614 128 128 128 1.0
301 0.090770440 0.185025711 0.511780423 128 128 128 1.0
302 -0.017534454 0.059215930 0.359679818 128 128 128 1.0
303 0.008168472 0.123820565 0.244465634 128 128 128 1.0
304 0.084423568 -0.003918080 0.462683250 128 128 128 1.0
305 0.014978670 -0.053813760 0.372171230 128 128 128 1.0
306 0.058877368 0.002861094 0.389043062 128 128 128 1.0
307 -0.041734014 -0.170710712 0.422001887 128 128 128 1.0
308 0.055932779 0.011854271 0.355472845 128 128 128 1.0
309 0.082903662 -0.036568538 0.293477275 128 128 128 1.0
310 -0.015083990 0.095127775 0.239030968 128 128 128 1.0
311 0.095346399 -0.051140228 0.261940520 128 128 128 1.0
312 0.100804947 -0.007751208 0.245981251 128 128 128 1.0
313 -0.028698645 0.074484194 0.445365935 128 128 128 1.0
314 -0.034167895 0.032505661 0.407126771 128 128 128 1.0
315 -0.051570119 0.028402886 0.347449767 128 128 128 1.0
316 -0.042881953 -0.039371835 0.355362759 128 128 128 1.0
317 0.002388279 -0.045239196 0.315924391 128 128 128 1.0
318 0.089066979 0.017106171 0.420807549 128 128 128 1.0
319 0.096145779 0.047107381 0.531670905 128 128 128 1.0
320 -0.066024323 0.064672767 0.324548482 128 128 128 1.0
321 0.148462661 0.136035210 0.193663105 128 128 128 1.0
322 -0.077509299 0.053145033 0.413189377 128 128 128 1.0
323 0.058925137 -0.005669226 0.386409666 128 128 128 1.0
324 0.052241715 -0.006229702 0.432184157 128 128 128 1.0
325 -0.180759780 0.050703482 0.267275791 128 128 128 1.0
326 0.076694225 -0.018294754 0.278897018 128 128 128 1.0
327 0.029912173 -0.072906680 0.276978568 128 128 128 1.0
328 -0.125383548 -0.002136620 0.389745882 128 128 128 1.0
329 0.081842079 -0.011338229 0.433828417 128 128 128 1.0
330 0.001436878 -0.007463078 0.395885036 128 128 128 1.0
331 0.084671422 -0.027314756 0.330499070 128 128 128 1.0
332 -0.012866512 0.006621530 0.277967343 128 128 128 1.0
333 0.082240485 -0.032032771 0.386995477 128 128 128 1.0
334 -0.066037806 0.028704316 0.381327441 128 128 128 1.0
335 -0.033654513 0.161671155 0.379683197 128 128 128 1.0
336 0.142154314 0.076731114 0.297018015 128 128 128 1.0
337 -0.030574945 0.034888165 0.354893803 128 128 128 1.0
338 0.003956891 -0.022896396 0.205321892 128 128 128 1.0
339 -0.018034611 -0.177449717 0.379745566 128 128 128 1.0
340 -0.058084623 -0.057233338 0.332455696 128 128 128 1.0
341 0.021813788 -0.114560494 0.210111905 128 128 128 1.0
342 -0.085285270 -0.163338202 0.272652031 128 128 128 1.0
343 0.127270642 -0.084526873 0.402112414 128 128 128 1.0
344 -0.109730785 0.023929612 0.324421295 128 128 128 1.0
345 -0.004785023 0.045502208 0.490499210 128 128 128 1.0
346 0.015576508 0.009948716 0.272130583 128 128 128 1.0
347 0.046667172 -0.019685786 0.416560563 128 128 128 1.0
348 -0.003496516 0.139268456 0.191366680 128 128 128 1.0
349 -0.023727949 0.070518531 0.321944624 128 128 128 1.0
350 -0.063373846 -0.021270448 0.239605700 128 128 128 1.0
351 0.009516302 0.195236947 0.441602520 128 128 128 1.0
352 -0.088720729 -0.069867287 0.317621775 128 128 128 1.0
353 0.080353290 -0.065718961 0.294781486 128 128 128 1.0
354 0.070779955 0.069172206 0.320094827 128 128 128 1.0
355 -0.089421073 -0.123979586 0.294080790 128 128 128 1.0
356 -0.178442312 0.059985591 0.299597544 128 128 128 1.0
357 0.038503493 0.149465991 0.443839657 128 128 128 1.0
358 -0.092090787 0.069539919 0.442628562 128 128 128 1.0
359 -0.059708521 -0.076263754 0.341224648 128 128 128 1.0
360 -0.128113868 0.117658796 0.157570897 128 128 128 1.0
361 -0.088544593 -0.021565213 0.331833033 128 128 128 1.0
362 0.013289934 0.021715885 0.332911039 128 128 128 1.0
363 0.090950906 -0.171150094 0.349986839 128 128 128 1.0
364 -0.057166753 0.010601075 0.367660787 128 128 128 1.0
365 -0.072946310 -0.051275920 0.413406938 128 128 128 1.0
366 0.027924501 -0.054419875 0.513191277 128 128 128 1.0
367 0.184734212 -0.116996998 0.374143597 128 128 128 1.0
368 0.200719555 0.062711890 0.367684811 128 128 128 1.0
369 -0.016644547 -0.043295543 0.332998824 128 128 128 1.0
370 -0.044058353 0.059592669 0.318147708 128 128 128 1.0
371 -0.035292121 -0.096172855 0.346032810 128 128 128 1.0
372 -0.071529734 -0.014460013 0.433345244 128 128 128 1.0
373 0.029273991 0.040378024 0.378487272 128 128 128 1.0
374 0.004734058 -0.010186258 0.325375503 128 128 128 1.0
375 0.060729361 -0.086739185 0.457257807 128 128 128 1.0
376 0.002726245 -0.059896031 0.310868314 128 128 128 1.0
377 -0.054159232 0.012816520 0.292572556 128 128 128 1.0
378 0.091370496 -0.062531119 0.168198246 128 128 128 1.0
379 -0.058479879 -0.160681694 0.346810492 128 128 128 1.0
380 0.084732638 0.051820784 0.242992840 128 128 128 1.0
381 -0.060980423 0.142290683 0.375480913 128 128 128 1.0
382 0.000329495 0.084485005 0.546219290 128 128 128 1.0
383 0.103725862 0.011153220 0.378375054 128 128 128 1.0
384 0.049366383 -0.049015880 0.265302442 128 128 128 1.0
385 0.004195927 -0.075776898 0.345083006 128 128 128 1.0
386 0.007689843 0.187282986 0.281916000 128 128 128 1.0
387 -0.009743115 -0.013144231 0.384984843 128 128 128 1.0
388 0.083737947 -0.039238680 0.284291838 128 128 128 1.0
389 -0.131256849 -0.074096360 0.392915267 128 128 128 1.0
390 0.003651763 -0.081234720 0.320178602 128 128 128 1.0
391 0.002517836 0.040294315 0.302528452 128 128 128 1.0
392 -0.020035205 -0.145474779 0.257889136 128 128 128 1.0
393 0.129417253 -0.175051254 0.322975796 128 128 128 1.0
394 0.017535858 -0.029947940 0.285347398 128 128 128 1.0
395 -0.004886283 -0.000397232 0.343430608 128 128 128 1.0
396 -0.150216970 -0.011792290 0.281590985 128 128 128 1.0
397 -0.043818870 0.018157981 0.401258300 128 128 128 1.0
398 0.071742187 -0.039713045 0.423920222 128 128 128 1.0
399 0.093898203 0.090931034 0.461181435 128 128 128 1.0
400 -0.011654600 -0.013930553 0.416004062 128 128 128 1.0
401 -0.109321945 0.016754324 0.307555281 128 128 128 1.0
402 -0.029503124 -0.139321156 0.278756456 128 128 128 1.0
403 -0.001639514 0.071076254 0.429202127 128 128 128 1.0
404 -0.006426118 -0.015143069 0.283545665 128 128 128 1.0
405 0.032188520 -0.019806240 0.398470763 128 128 128 1.0
406 0.140134944 -0.002589997 0.230211642 128 128 128 1.0
407 -0.068868035 -0.116651795 0.254231225 128 128 128 1.0
408 0.104421658 0.018132766 0.228386045 128 128 128 1.0
409 0.052290573 0.100829990 0.321210035 128 128 128 1.0
410 -0.054079267 -0.026990217 0.372768521 128 128 128 1.0
411 0.051197612 0.094577347 0.446998256 128 128 128 1.0
412 0.094832308 0.108953715 0.402911023 128 128 128 1.0
413 -0.122472528 -0.010477138 0.375113641 128 128 128 1.0
414 -0.030650101 0.072900868 0.321182882 128 128 128 1.0
415 -0.074059762 0.115543920 0.403280345 128 128 128 1.0
416 0.017540303 0.074136727 0.435002739 128 128 128 1.0
417 0.027282865 -0.196612914 0.295952844 128 128 128 1.0
418 -0.036526330 -0.078736072 0.365894195 128 128 128 1.0
419 0.095376171 -0.038792447 0.259213386 128 128 128 1.0
420 0.162242785 -0.036115008 0.251362806 128 128 128 1.0
421 0.019014180 0.034054607 0.293595993 128 128 128 1.0
422 0.063236286 -0.038985555 0.276163927 128 128 128 1.0
423 0.014287269 0.061661518 0.299291881 128 128 128 1.0
424 0.026450044 -0.007479331 0.575954692 128 128 128 1.0
425 -0.056684774 0.110733728 0.345812297 128 128 128 1.0
426 -0.010140960 0.057733209 0.421519245 128 128 128 1.0
427 0.101361251 0.026292139 0.301968289 128 128 128 1.0
428 -0.043011688 0.040772255 0.396471990 128 128 128 1.0
429 0.111844075 0.033474436 0.434813461 128 128 128 1.0
430 0.121341683 0.013184044 0.231155308 128 128 128 1.0
431 -0.094342167 -0.115024229 0.477327230 128 128 128 1.0
432 -0.067792688 0.098547325 0.396858553 128 128 128 1.0
433 0.137221530 0.080247506 0.341810379 128 128 128 1.0
434 -0.016002436 0.006813418 0.364020876 128 128 128 1.0
435 -0.042459494 -0.002610264 0.478745605 128 128 128 1.0
436 -0.136171065 0.020679051 0.277443776 128 128 128 1.0
437 0.014962967 0.067188462 0.345391186 128 128 128 1.0
438 0.061838954 -0.127187152 0.438559129 128 128 128 1.0
439 -0.048250339 0.049792646 0.364595848 128 128 128 1.0
440 -0.206844974 -0.060485130 0.367640669 128 128 128 1.0
441 0.124318087 0.022981463 0.370615670 128 128 128 1.0
442 -0.113014727 0.114491736 0.494566160 128 128 128 1.0
443 0.002286003 -0.017580564 0.220476023 128 128 128 1.0
444 0.070665685 0.216182346 0.407369046 128 128 128 1.0
